UNIQUE CITIES,,,TOP 10 CITIES,,,,,TOP 5 CHAINS,,,
RAW,CLEAN,,RAW,,CLEAN,,,RAW,,CLEAN,
Abohar,Abohar,,Bangalore,626610,Bangalore,626610,,KFC,64920,KFC,64920
Adilabad,Adilabad,,Chennai,484400,Chennai,484400,,Pizza Hut,48910,Pizza Hut,48910
Adityapur,Adityapur,,Hyderabad,422000,Hyderabad,422000,,NIC Natural Ice Creams,48770,NIC Natural Ice Creams,48770
Adoni,Adoni,,Delhi,397970,Delhi,397970,,Subway,44140,Subway,44140
Agartala,Agartala,,Pune,331080,Pune,331080,,Domino's Pizza,41150,Domino's Pizza,41150
Agra,Agra,,Kolkata,303980,Kolkata,303980,,,,,
Ahmedabad,Ahmedabad,,Mumbai,185980,Mumbai,185980,,,,,
Ahmednagar,Ahmednagar,,Chandigarh,111100,Chandigarh,111100,,,,,
Aizawl,Ajmer,,Ahmedabad,102310,Ahmedabad,102310,,,,,
Ajmer,Akola,,Lucknow,75840,Lucknow,75840,,,,,
Akola,Alappuzha,,,,,,,,,,
Alappuzha,Aligarh,,,,BASIC INSIGHTS,,,,,,
Aligarh,Alipurduar,,,,,RAW,CLEAN,,,,
Alipurduar,Allahabad,,,,NUMBER OF RESTRAUNTS,148541,61527,,,,
Allahabad,Alwar,,,,TOTAL CITIES,554,535,,,,
Alwar,Ambala,,,,CITY WITH MAX RESTRAUNTS,Bangalore,Bangalore,,,,
Ambala,Ambikapur,,,,CITY WITH LEAST EXPENSIVE RESTRAUNT,Hampi,Hindaun,,,,
Ambikapur,Ambur,,,,MOST VISITED IN BANGALORE,Domino's Pizza,Domino's Pizza,,,,
Ambur,Amravati,,,,,,,,,,
Amravati,Amreli,,,,,,,,,,
Amreli,Amritsar,,,,,,,,,,
Amritsar,Anand,,,,,,,,,,
Anand,Anantapur,,,,,,,,,,
Anantapur,Ankleshwar,,,,,,,,,,
Ankleshwar,Arakkonam,,,,,,,,,,
Arakkonam,Arambagh,,,,,,,,,,
Arambagh,Arrah,,,,,,,,,,
Arrah,Asansol,,,,,,,,,,
Aruppukottai,Aurangabad,,,,,,,,,,
Asansol,Aurangabad_bihar,,,,,,,,,,
Aurangabad,Azamgarh,,,,,,,,,,
Aurangabad_bihar,Baddi,,,,,,,,,,
Azamgarh,Bagalkot,,,,,,,,,,
Baddi,Bagdogra,,,,,,,,,,
Bagalkot,Bahadurgarh,,,,,,,,,,
Bagdogra,Bahraich,,,,,,,,,,
Bahadurgarh,Balaghat,,,,,,,,,,
Bahraich,Balangir,,,,,,,,,,
Balaghat,Balasore,,,,,,,,,,
Balangir,Ballari,,,,,,,,,,
Balasore,Balrampur,,,,,,,,,,
Ballari,Balurghat,,,,,,,,,,
Balrampur,Banda,,,,,,,,,,
Balurghat,Bangalore,,,,,,,,,,
Banda, New BEL Road,,,,,,,,,,
Bangalore,Bantwal,,,,,,,,,,
 New BEL Road,Bapatlachirala,,,,,,,,,,
Bantwal,Baramati,,,,,,,,,,
Bapatlachirala,Baran,,,,,,,,,,
Baramati,Bardhaman,,,,,,,,,,
Baran,Bardoli,,,,,,,,,,
Bardhaman,Bareilly,,,,,,,,,,
Bardoli,Barmer,,,,,,,,,,
Bareilly,Barnala,,,,,,,,,,
Barmer,Barshi,,,,,,,,,,
Barnala,Barwani,,,,,,,,,,
Barshi,Basirhat,,,,,,,,,,
Barwani,Basti,,,,,,,,,,
Basirhat,Batala,,,,,,,,,,
Basti,Bathinda,,,,,,,,,,
Batala,Beawar,,,,,,,,,,
Bathinda,Beed,,,,,,,,,,
Beawar,Begusarai,,,,,,,,,,
Beed,Bela-pratapgarh,,,,,,,,,,
Begusarai,Belgaum,,,,,,,,,,
Bela-pratapgarh,Berhampore,,,,,,,,,,
Belgaum,Berhampur,,,,,,,,,,
Berhampore,Bettiah,,,,,,,,,,
Berhampur,Betul,,,,,,,,,,
Bettiah,Bhadohi,,,,,,,,,,
Betul,Bhadrachalam,,,,,,,,,,
Bhadohi,Bhagalpur,,,,,,,,,,
Bhadrachalam,Bhandara,,,,,,,,,,
Bhagalpur,Bharabanki,,,,,,,,,,
Bhandara,Bharatpur,,,,,,,,,,
Bharabanki,Bharuch,,,,,,,,,,
Bharatpur,Bhatkal,,,,,,,,,,
Bharuch,Bhavnagar,,,,,,,,,,
Bhatkal,Bhawanipatna,,,,,,,,,,
Bhavnagar,Bhilai,,,,,,,,,,
Bhawanipatna,Bhilwara,,,,,,,,,,
Bhilai,Bhimavaram,,,,,,,,,,
Bhilwara,Bhind,,,,,,,,,,
Bhimavaram,Bhiwadi,,,,,,,,,,
Bhind,Bhiwani,,,,,,,,,,
Bhiwadi,Bhopal,,,,,,,,,,
Bhiwani,Bhubaneswar,,,,,,,,,,
Bhopal,Bhuj,,,,,,,,,,
Bhubaneswar,Bhusawal,,,,,,,,,,
Bhuj,Bidar,,,,,,,,,,
Bhusawal,Biharsharif,,,,,,,,,,
Bidar,Bijapur,,,,,,,,,,
Biharsharif,Bijnor,,,,,,,,,,
Bijapur,Bikaner,,,,,,,,,,
Bijnor,Bilaspur,,,,,,,,,,
Bikaner,Bodhan-rural,,,,,,,,,,
Bilaspur,Boisar,,,,,,,,,,
Bilimora,Bokaro,,,,,,,,,,
Bodhan-rural,Bolpur,,,,,,,,,,
Bodinayakanur,Bongaigaon,,,,,,,,,,
Boisar,Bongaon,,,,,,,,,,
Bokaro,Budaun,,,,,,,,,,
Bolpur,Budhwal,,,,,,,,,,
Bongaigaon,Bulandshahr,,,,,,,,,,
Bongaon,Bundi,,,,,,,,,,
Budaun,Burhanpur,,,,,,,,,,
Budhwal,Buxar,,,,,,,,,,
Bulandshahr,Central-goa,,,,,,,,,,
Buldana,Chakdaha,,,,,,,,,,
Bundi,Chalakkudy,,,,,,,,,,
Burhanpur,Chalisgaon,,,,,,,,,,
Buxar,Chandausi,,,,,,,,,,
Central-goa,Chandigarh,,,,,,,,,,
Chakdaha,Chandrapur,,,,,,,,,,
Chalakkudy,Changanassery,,,,,,,,,,
Chalisgaon,Chengannur,,,,,,,,,,
Chandausi,Chennai,,,,,,,,,,
Chandigarh,Cherthala,,,,,,,,,,
Chandrapur,Chhapra,,,,,,,,,,
Changanassery,Chhatarpur,,,,,,,,,,
Chengannur,Chhindwara,,,,,,,,,,
Chennai,Chidambaram,,,,,,,,,,
Cherthala,Chikhli,,,,,,,,,,
Chhapra,Chikkaballapur,,,,,,,,,,
Chhatarpur,Chikmagalur,,,,,,,,,,
Chhindwara,Chiplun,,,,,,,,,,
Chidambaram,Chitradurga,,,,,,,,,,
Chikhli,Chittoor,,,,,,,,,,
Chikkaballapur,Chittorgarh,,,,,,,,,,
Chikmagalur,Chopda,,,,,,,,,,
Chiplun,Churu,,,,,,,,,,
Chitradurga,Coimbatore,,,,,,,,,,
Chittoor,Cooch-behar,,,,,,,,,,
Chittorgarh,Cuddalore,,,,,,,,,,
Chopda,Cuttack,,,,,,,,,,
Churu,Dahod,,,,,,,,,,
Coimbatore,Daman,,,,,,,,,,
Cooch-behar,Darbhanga,,,,,,,,,,
Cuddalore,Darjeeling,,,,,,,,,,
Cuttack,Davanagere,,,,,,,,,,
Dahanu,Dehradun,,,,,,,,,,
Dahod,Dehri,,,,,,,,,,
Daman,Delhi,,,,,,,,,,
Darbhanga,Deoghar,,,,,,,,,,
Darjeeling,Dewas,,,,,,,,,,
Dausa,Dhanbad,,,,,,,,,,
Davanagere,Dhar,,,,,,,,,,
Dehradun,Dharamshala,,,,,,,,,,
Dehri,Dharmapuri,,,,,,,,,,
Delhi,Dharwad,,,,,,,,,,
Deoghar,Dhoraji,,,,,,,,,,
Dewas,Dhule,,,,,,,,,,
Dhanbad,Dibrugarh,,,,,,,,,,
Dhar,Dimapur,,,,,,,,,,
Dharamshala,Dindigul,,,,,,,,,,
Dharmapuri,Diu,,,,,,,,,,
Dharwad,Doddaballapura,,,,,,,,,,
Dhoraji,Duliajan,,,,,,,,,,
Dhule,Dumka,,,,,,,,,,
Dibrugarh,Durgapur,,,,,,,,,,
Dimapur,Eluru,,,,,,,,,,
Dindigul,Erode,,,,,,,,,,
Diu,Etawah,,,,,,,,,,
Doddaballapura,Faizabad,,,,,,,,,,
Duliajan,Faridabad,,,,,,,,,,
Dumka,Faridkot,,,,,,,,,,
Durgapur,Farrukhabad,,,,,,,,,,
Eluru,Fatehabad,,,,,,,,,,
Erode,Fatehgarh-sahib,,,,,,,,,,
Etawah,Fatehpur,,,,,,,,,,
Faizabad,Fazilka,,,,,,,,,,
Faridabad,Firozabad,,,,,,,,,,
Faridkot,Firozpur,,,,,,,,,,
Farrukhabad,Gadag-betigeri,,,,,,,,,,
Fatehabad,Gadwal,,,,,,,,,,
Fatehgarh-sahib,Gandhidham,,,,,,,,,,
Fatehpur,Gangapur-city,,,,,,,,,,
Fazilka,Gangtok,,,,,,,,,,
Firozabad,Gauriganj,,,,,,,,,,
Firozpur,Gaya,,,,,,,,,,
Gadag-betigeri,Giridih,,,,,,,,,,
Gadwal,Godhra,,,,,,,,,,
Gandhidham,Gokak,,,,,,,,,,
Gangapur-city,Golaghat,,,,,,,,,,
Gangtok,Gonda,,,,,,,,,,
Gauriganj,Gondal,,,,,,,,,,
Gaya,Gondia,,,,,,,,,,
Giridih,Gopalganj,,,,,,,,,,
Godhra,Gorakhpur,,,,,,,,,,
Gokak,Gudivada,,,,,,,,,,
Golaghat,Guna,,,,,,,,,,
Gonda,Guntakal,,,,,,,,,,
Gondal,Guntur,,,,,,,,,,
Gondia,Gurdaspur,,,,,,,,,,
Gopalganj,Gurgaon,,,,,,,,,,
Gorakhpur,Guwahati,,,,,,,,,,
Gudivada,Gwalior,,,,,,,,,,
Guna,Habra,,,,,,,,,,
Guntakal,Haldia,,,,,,,,,,
Guntur,Haldwani,,,,,,,,,,
Gurdaspur,Halol,,,,,,,,,,
Gurgaon,Hansi,,,,,,,,,,
Guwahati,Hanumangarh,,,,,,,,,,
Gwalior,Hapur,,,,,,,,,,
Habra,Hardoi,,,,,,,,,,
Haldia,Haridwar,,,,,,,,,,
Haldwani,Hassan,,,,,,,,,,
Halol,Himmatnagar,,,,,,,,,,
Hampi,Hindaun,,,,,,,,,,
Hansi,Hinganghat,,,,,,,,,,
Hanumangarh,Hisar,,,,,,,,,,
Hapur,Hoshangabad,,,,,,,,,,
Hardoi,Hoshiarpur,,,,,,,,,,
Haridwar,Hospet,,,,,,,,,,
Hassan,Hubli,,,,,,,,,,
Himmatnagar,Hyderabad,,,,,,,,,,
Hindaun, Nacharam & Malkajigiri,,,,,,,,,,
Hinganghat,Ichalkaranji,,,,,,,,,,
Hisar,Imphal,,,,,,,,,,
Hoshangabad,Indore,,,,,,,,,,
Hoshiarpur,Irinjalakuda,,,,,,,,,,
Hospet,Itarsi,,,,,,,,,,
Hubli,Jabalpur,,,,,,,,,,
Hyderabad,Jagdalpur,,,,,,,,,,
 Nacharam & Malkajigiri,Jagraon,,,,,,,,,,
Ichalkaranji,Jagtial,,,,,,,,,,
